id,team,seasonIndex,stageIndex,weekIndex,totalLosses,totalTies,totalWins,rank,customRank,prevRank,ptsAgainstRank,ptsForRank,offPassYdsRank,offRushYdsRank,offTotalYdsRank,defPassYdsRank,defRushYdsRank,defTotalYdsRank
11136863,Jets,0,1,6,5,0,2,28,,22,31,6,1,24,1,32,32,32
11136885,Jaguars,0,1,6,4,0,3,20,,25,17,29,21,26,28,5,24,6
11136879,Panthers,0,1,6,3,0,4,15,,19,7,15,9,9,7,12,14,13
11136886,Chiefs,0,1,6,4,0,2,25,,24,28,13,26,8,23,11,26,22
11136890,Eagles,0,1,6,5,0,1,30,,29,30,9,27,5,16,23,11,17
11136888,Giants,0,1,6,3,0,4,10,,10,16,11,3,12,3,22,8,16
11136889,Patriots,0,1,6,1,0,6,2,,5,2,8,30,4,19,24,6,18
11136868,Bears,0,1,6,4,0,2,23,,27,15,20,22,22,25,9,17,7
11136869,Saints,0,1,6,2,0,5,5,,1,13,14,15,10,13,7,23,11
11136875,Browns,0,1,6,4,0,3,22,,20,9,30,24,18,24,8,20,9
11136880,Buccaneers,0,1,6,3,0,4,17,,16,10,17,23,17,22,14,30,26
11136862,Colts,0,1,6,5,0,2,27,,26,22,27,20,3,6,29,18,29
11136882,Commanders,0,1,6,4,0,3,19,,13,23,26,7,27,14,28,13,27
11136887,Chargers,0,1,6,3,0,4,11,,14,11,28,12,20,17,26,5,20
11136867,Packers,0,1,6,4,0,2,24,,28,24,23,11,25,21,2,15,3
11136876,Lions,0,1,6,3,0,4,18,,9,18,16,14,7,9,10,27,23
11136860,Dolphins,0,1,6,3,0,4,12,,17,12,12,5,30,15,21,29,28
11136870,49ers,0,1,6,3,0,4,13,,8,1,18,29,13,29,6,12,4
11149666,Jets,0,1,7,5,0,3,25,,28,31,3,1,24,1,31,32,32
11149670,Saints,0,1,7,2,0,6,4,,5,10,14,19,11,14,9,25,15
11149696,Texans,0,1,7,4,0,3,23,,26,21,20,7,32,21,17,20,19
11149687,Titans,0,1,7,2,0,5,8,,6,4,6,2,15,5,7,16,8
11149669,Bears,0,1,7,5,0,2,26,,23,22,23,21,18,25,12,18,14
11149682,Lions,0,1,7,3,0,4,13,,18,18,12,22,9,18,5,22,10
11149673,Bengals,0,1,7,4,0,4,18,,14,12,19,6,7,4,13,30,21
11149665,Colts,0,1,7,5,0,2,28,,27,23,28,25,4,13,24,11,20
11149679,Cardinals,0,1,7,7,0,0,32,,31,32,32,32,26,32,25,29,29
11149694,Steelers,0,1,7,6,0,1,31,,32,25,30,26,22,29,16,9,13
11149691,Chargers,0,1,7,3,0,5,9,,11,11,27,9,21,11,29,7,24
11149693,Eagles,0,1,7,6,0,2,29,,30,29,9,11,2,3,28,23,27
11149676,Cowboys,0,1,7,2,0,6,2,,1,28,4,17,5,7,32,19,31
11149678,Rams,0,1,7,4,0,3,21,,21,19,10,15,17,16,8,15,9
11149686,Ravens,0,1,7,2,0,5,5,,7,13,2,30,3,17,22,1,12
11149680,Bills,0,1,7,5,0,1,30,,29,30,22,24,23,28,11,4,5
11149672,Seahawks,0,1,7,3,0,4,12,,16,20,5,20,16,20,20,5,16
11149683,Dolphins,0,1,7,4,0,4,16,,12,15,17,8,31,19,23,31,28
11149690,Chiefs,0,1,7,5,0,3,24,,25,27,13,13,8,8,27,27,30
11149667,Broncos,0,1,7,1,0,7,1,,3,7,1,12,1,2,21,26,25
11149695,Patriots,0,1,7,1,0,6,3,,2,2,8,31,6,27,14,3,6
11149684,Falcons,0,1,7,2,0,5,7,,8,1,21,16,27,24,2,2,1
11149689,Jaguars,0,1,7,4,0,3,20,,20,17,29,28,30,31,1,17,2
11149681,Raiders,0,1,7,2,0,5,6,,4,6,7,5,20,9,19,6,18
11149677,Commanders,0,1,7,4,0,4,19,,19,14,26,3,29,10,30,10,26
11149671,49ers,0,1,7,4,0,4,17,,13,3,24,27,10,26,18,12,17
11149674,Browns,0,1,7,4,0,3,22,,22,8,31,29,19,30,3,14,3
11149692,Giants,0,1,7,4,0,4,15,,10,16,15,4,12,6,26,13,23
11149668,Packers,0,1,7,5,0,2,27,,24,24,25,14,28,22,4,24,7
11149675,Buccaneers,0,1,7,4,0,4,14,,17,9,18,23,13,23,15,28,22
11149688,Vikings,0,1,7,3,0,4,11,,9,26,16,10,25,12,10,21,11
11149685,Panthers,0,1,7,3,0,4,10,,15,5,11,18,14,15,6,8,4
11169661,Falcons,0,1,8,3,0,5,8,,7,3,28,17,25,24,3,8,2
11169671,Dolphins,0,1,8,5,0,4,17,,16,25,16,9,32,20,26,31,31
11169652,Browns,0,1,8,5,0,3,25,,22,13,31,29,22,30,7,18,7
11169647,Bears,0,1,8,5,0,3,21,,26,27,18,18,20,22,23,20,23
11169650,Seahawks,0,1,8,3,0,5,9,,12,16,7,15,12,16,21,2,16
11169666,Jaguars,0,1,8,5,0,3,24,,20,19,27,24,29,29,4,13,5
11169658,Bills,0,1,8,5,0,2,27,,30,29,20,21,18,23,11,3,6
11169660,Lions,0,1,8,3,0,5,10,,13,10,12,22,8,18,9,15,8
11169651,Bengals,0,1,8,5,0,4,18,,18,17,17,3,7,2,12,29,22
11169663,Ravens,0,1,8,2,0,6,5,,5,12,2,30,2,12,24,1,13
11169662,Panthers,0,1,8,4,0,5,12,,10,5,11,7,10,6,20,12,17
11169659,Raiders,0,1,8,2,0,6,7,,6,8,8,4,23,8,25,10,18
11169670,Eagles,0,1,8,6,0,2,30,,29,30,9,16,4,7,19,16,19
11169649,49ers,0,1,8,4,0,4,15,,17,2,22,31,13,31,8,5,4
11169665,Vikings,0,1,8,4,0,4,16,,11,21,21,10,26,14,10,22,14
11169653,Buccaneers,0,1,8,4,0,4,13,,14,7,19,28,17,28,5,25,10
11169655,Commanders,0,1,8,5,0,4,19,,19,18,24,5,30,13,31,14,27
11169645,Broncos,0,1,8,1,0,8,3,,1,6,1,11,1,1,22,27,26
11169667,Chiefs,0,1,8,5,0,3,22,,24,22,13,20,11,19,17,23,21
11169657,Cardinals,0,1,8,8,0,0,32,,32,32,32,32,21,32,27,30,30
11169656,Rams,0,1,8,4,0,3,20,,21,15,10,23,24,27,1,11,1
11169654,Cowboys,0,1,8,2,0,7,2,,2,24,3,14,5,5,32,21,29
11169672,Patriots,0,1,8,1,0,8,1,,3,1,4,27,3,11,15,6,15
11169646,Packers,0,1,8,6,0,2,29,,27,26,26,13,28,21,6,24,9
11169643,Colts,0,1,8,7,0,2,31,,28,23,30,19,6,10,30,26,28
11169644,Jets,0,1,8,5,0,3,23,,25,31,5,1,27,3,29,32,32
11169673,Texans,0,1,8,5,0,3,26,,23,28,23,8,31,17,16,28,25
11169664,Titans,0,1,8,2,0,7,4,,8,4,6,2,9,4,18,19,20
11169674,Steelers,0,1,8,6,0,2,28,,31,20,29,26,14,26,14,4,11
11169648,Saints,0,1,8,2,0,6,6,,4,9,14,25,15,25,2,17,3
11169668,Chargers,0,1,8,4,0,5,11,,9,11,25,6,19,9,28,9,24
11169669,Giants,0,1,8,4,0,4,14,,15,14,15,12,16,15,13,7,12
11190654,Titans,0,1,9,2,0,7,4,,4,4,7,8,12,6,11,11,9
11190659,Eagles,0,1,9,6,0,2,30,,30,30,9,24,4,18,12,8,7
11190657,Chiefs,0,1,9,6,0,3,25,,22,26,16,21,10,20,18,22,23
11190648,Buccaneers,0,1,9,5,0,4,19,,13,9,19,27,18,26,5,24,11
11190658,Chargers,0,1,9,5,0,5,13,,11,10,26,7,22,10,23,7,20
11190660,Dolphins,0,1,9,5,0,5,14,,17,23,12,5,27,12,26,31,30
11190665,Cardinals,0,1,9,9,0,0,32,,32,32,32,32,21,32,30,30,31
11190639,Broncos,0,1,9,1,0,9,1,,3,7,1,10,1,1,25,26,27
11190661,Patriots,0,1,9,1,0,9,3,,1,1,6,25,3,11,21,5,17
11190642,Colts,0,1,9,8,0,2,31,,31,27,30,15,6,8,31,25,28
11190635,Bears,0,1,9,6,0,3,23,,21,25,23,19,24,22,29,17,25
11190636,Falcons,0,1,9,3,0,6,9,,8,3,25,18,26,24,8,6,6
11190637,Panthers,0,1,9,5,0,5,15,,12,5,14,12,9,7,19,12,19
11190656,Jaguars,0,1,9,5,0,4,22,,24,16,21,26,29,30,10,13,8
11190646,Bengals,0,1,9,5,0,4,21,,18,18,18,9,8,4,6,23,13
11190651,Raiders,0,1,9,3,0,6,7,,7,12,8,2,25,5,22,16,22
11190650,Commanders,0,1,9,5,0,5,12,,19,20,22,6,19,9,32,20,29
11190644,49ers,0,1,9,5,0,4,20,,15,2,27,30,14,31,9,4,5
11190655,Vikings,0,1,9,4,0,4,17,,16,21,20,16,31,23,2,15,3
11190652,Lions,0,1,9,4,0,5,11,,10,11,11,17,7,14,7,28,16
11190666,Steelers,0,1,9,6,0,3,27,,28,17,29,28,16,27,16,3,10
11190647,Browns,0,1,9,6,0,3,26,,25,19,31,29,20,29,13,18,15
11190643,Jets,0,1,9,5,0,4,18,,23,31,4,1,28,2,27,32,32
11190638,Giants,0,1,9,4,0,6,10,,14,8,15,3,13,3,20,10,18
11190641,Saints,0,1,9,3,0,7,6,,6,6,13,13,11,15,4,27,12
11190640,Packers,0,1,9,6,0,2,29,,29,24,28,20,32,28,1,19,1
11190662,Texans,0,1,9,6,0,3,28,,26,28,24,4,30,17,15,29,21
11190653,Ravens,0,1,9,2,0,6,5,,5,14,2,31,2,21,14,1,2
11190664,Rams,0,1,9,4,0,4,16,,20,13,10,23,23,25,3,9,4
11190663,Bills,0,1,9,6,0,3,24,,27,29,17,11,17,13,24,21,26
11190649,Cowboys,0,1,9,2,0,7,2,,2,22,5,22,5,16,28,14,24
11190645,Seahawks,0,1,9,3,0,6,8,,9,15,3,14,15,19,17,2,14
11213894,Browns,0,1,10,7,0,3,25,,26,23,31,30,15,30,9,26,17
11213893,Bills,0,1,10,7,0,3,27,,24,28,16,10,17,11,26,19,24
11213869,Giants,0,1,10,4,0,7,8,,10,4,22,7,20,8,18,10,18
11213886,Chiefs,0,1,10,7,0,3,28,,25,25,13,18,10,16,24,25,26
11213898,Panthers,0,1,10,5,0,6,14,,15,6,15,13,8,7,16,9,15
11213867,Bears,0,1,10,6,0,4,19,,23,21,20,17,24,25,27,14,23
11213883,Titans,0,1,10,2,0,8,4,,4,5,4,6,12,3,11,7,7
11213888,Eagles,0,1,10,7,0,2,30,,30,30,9,24,4,15,13,8,12
11213872,Colts,0,1,10,8,0,2,31,,31,26,30,23,7,21,19,20,22
11213870,Broncos,0,1,10,1,0,10,1,,1,8,1,9,1,1,30,27,29
11213889,Dolphins,0,1,10,6,0,5,18,,14,24,11,5,31,14,28,31,30
11213871,Saints,0,1,10,3,0,7,2,,6,7,14,20,16,26,1,21,1
11213891,Texans,0,1,10,7,0,3,29,,28,29,26,3,32,13,15,29,25
11213892,Packers,0,1,10,7,0,3,26,,29,13,29,12,25,18,4,18,5
11213878,Cowboys,0,1,10,3,0,7,7,,2,27,7,22,5,17,29,15,27
11213890,Patriots,0,1,10,1,0,10,3,,3,2,3,27,3,10,22,5,16
11213895,Rams,0,1,10,5,0,5,17,,16,15,12,15,19,22,12,23,19
11213879,Commanders,0,1,10,5,0,6,15,,12,18,23,8,18,9,32,16,28
11213873,Jets,0,1,10,6,0,4,20,,18,31,8,1,30,2,25,32,32
11213874,49ers,0,1,10,5,0,6,12,,20,1,18,21,6,19,6,2,2
11213896,Cardinals,0,1,10,10,0,0,32,,32,32,32,32,28,32,31,30,31
11213880,Raiders,0,1,10,3,0,7,6,,7,10,6,2,23,4,23,11,21
11213887,Chargers,0,1,10,5,0,6,13,,13,11,24,4,22,6,21,12,20
11213876,Bengals,0,1,10,6,0,4,22,,21,22,17,11,9,5,3,28,10
11213885,Jaguars,0,1,10,6,0,4,24,,22,19,21,28,26,31,10,13,9
11213882,Ravens,0,1,10,2,0,8,5,,5,14,2,31,2,12,17,3,8
11213881,Lions,0,1,10,4,0,5,11,,11,12,10,25,11,24,2,22,4
11213875,Seahawks,0,1,10,4,0,6,9,,8,16,5,16,14,20,20,1,14
11213897,Steelers,0,1,10,6,0,4,23,,27,17,27,29,13,28,14,4,6
11213884,Vikings,0,1,10,6,0,4,21,,17,20,25,14,29,23,8,17,11
11213868,Falcons,0,1,10,4,0,6,10,,9,3,28,19,27,27,5,6,3
11213877,Buccaneers,0,1,10,5,0,5,16,,19,9,19,26,21,29,7,24,13
11236872,Chargers,0,1,11,5,0,6,15,,13,10,24,7,25,15,12,7,8
11236857,Jets,0,1,11,7,0,4,23,,20,31,6,1,26,1,28,32,32
11236862,Lions,0,1,11,4,0,7,8,,11,12,9,18,4,6,7,27,11
11236867,Colts,0,1,11,8,0,3,29,,31,23,29,22,6,16,27,20,24
11236884,Cardinals,0,1,11,11,0,0,32,,32,32,32,32,27,32,32,31,31
11236880,Rams,0,1,11,6,0,5,18,,17,17,14,5,16,9,9,24,12
11236878,Bills,0,1,11,7,0,3,27,,27,28,18,14,23,20,15,14,13
11236871,Chiefs,0,1,11,8,0,3,30,,28,26,16,16,10,11,23,29,30
11236875,Patriots,0,1,11,1,0,10,3,,3,2,3,31,3,19,13,1,7
11236853,Falcons,0,1,11,4,0,6,9,,10,3,28,26,29,31,4,3,2
11236858,49ers,0,1,11,5,0,7,11,,12,1,21,21,7,14,6,2,4
11236854,Giants,0,1,11,5,0,7,10,,8,7,22,4,21,7,17,21,21
11236869,Buccaneers,0,1,11,5,0,6,13,,16,9,17,29,17,30,20,26,23
11236856,Saints,0,1,11,3,0,7,2,,2,5,13,27,22,29,1,18,1
11236876,Texans,0,1,11,7,0,3,28,,29,29,26,6,32,21,8,28,16
11236882,Panthers,0,1,11,6,0,6,16,,14,4,20,11,9,8,19,16,20
11236864,Vikings,0,1,11,6,0,4,21,,21,19,25,19,30,28,5,11,6
11236877,Packers,0,1,11,7,0,3,26,,26,13,30,17,28,24,3,13,3
11236879,Browns,0,1,11,7,0,4,24,,25,22,31,24,15,27,14,25,22
11236865,Commanders,0,1,11,5,0,6,14,,15,16,23,9,24,18,30,10,26
11236861,Raiders,0,1,11,4,0,7,7,,6,14,8,2,20,3,29,9,25
11236870,Jaguars,0,1,11,6,0,5,20,,24,11,15,23,19,26,10,15,9
11236855,Broncos,0,1,11,1,0,10,1,,1,8,1,10,2,2,26,22,27
11236874,Dolphins,0,1,11,6,0,5,17,,18,24,11,8,31,22,18,30,28
11236863,Ravens,0,1,11,2,0,9,4,,5,15,2,30,1,5,24,6,17
11236866,Seahawks,0,1,11,5,0,6,12,,9,18,5,13,13,12,25,4,15
11236860,Cowboys,0,1,11,3,0,7,6,,7,27,7,28,8,23,22,8,18
11236873,Eagles,0,1,11,8,0,2,31,,30,30,10,20,5,10,16,19,19
11236881,Steelers,0,1,11,7,0,4,25,,23,25,27,25,14,25,21,5,14
11236868,Bears,0,1,11,6,0,5,19,,19,20,12,12,18,17,31,12,29
11236859,Bengals,0,1,11,6,0,4,22,,22,21,19,15,12,13,2,23,5
11236883,Titans,0,1,11,2,0,9,5,,4,6,4,3,11,4,11,17,10
11256893,Bengals,0,1,12,7,0,5,20,,22,24,21,5,13,6,5,27,9
11256894,Cowboys,0,1,12,4,0,8,2,,6,28,8,28,4,15,31,18,30
11256902,Jaguars,0,1,12,7,0,5,24,,20,22,12,23,20,27,18,14,19
11256908,Texans,0,1,12,7,0,4,25,,28,29,23,8,31,19,6,26,15
11256892,49ers,0,1,12,6,0,7,13,,11,1,22,26,7,17,4,1,1
11256903,Chiefs,0,1,12,8,0,4,27,,30,27,13,16,10,10,16,31,28
11256916,Cardinals,0,1,12,12,0,0,32,,32,32,32,32,26,32,32,30,31
11256910,Bills,0,1,12,9,0,3,30,,27,26,20,6,16,12,30,21,29
11256890,Saints,0,1,12,4,0,8,8,,2,9,16,20,14,23,1,17,2
11256905,Eagles,0,1,12,9,0,2,31,,31,30,10,19,6,14,14,16,18
11256911,Browns,0,1,12,7,0,5,22,,24,15,30,29,21,31,9,20,17
11256885,Bears,0,1,12,6,0,5,17,,19,20,15,21,27,29,23,4,12
11256888,Giants,0,1,12,5,0,8,10,,10,6,24,4,24,11,20,23,23
11256898,Vikings,0,1,12,7,0,5,19,,21,23,26,13,28,20,12,29,25
11256904,Chargers,0,1,12,6,0,6,16,,15,13,28,12,29,22,13,7,6
11256914,Panthers,0,1,12,6,0,7,14,,16,4,18,15,8,9,17,10,11
11256886,Seahawks,0,1,12,5,0,7,11,,12,18,4,10,9,7,22,6,13
11256900,Colts,0,1,12,8,0,3,28,,29,21,29,31,12,28,11,11,7
11256915,Titans,0,1,12,2,0,10,4,,5,10,2,3,11,3,15,13,16
11256896,Lions,0,1,12,4,0,8,9,,8,7,9,22,5,13,2,22,4
11256895,Raiders,0,1,12,4,0,8,6,,7,8,5,2,19,4,26,8,21
11256889,Broncos,0,1,12,1,0,11,1,,1,11,1,14,2,2,24,19,24
11256906,Dolphins,0,1,12,7,0,5,21,,17,25,11,7,32,21,21,28,27
11256891,Jets,0,1,12,8,0,4,26,,23,31,7,1,30,1,29,32,32
11256887,Falcons,0,1,12,4,0,8,7,,9,3,19,18,18,25,8,9,5
11256897,Ravens,0,1,12,2,0,10,3,,4,12,3,30,1,8,19,5,8
11256907,Patriots,0,1,12,3,0,10,5,,3,2,6,25,3,5,28,2,20
11256909,Packers,0,1,12,9,0,3,29,,26,14,31,17,17,24,3,15,3
11256913,Steelers,0,1,12,7,0,5,23,,25,19,27,24,15,26,25,3,10
11256901,Buccaneers,0,1,12,5,0,7,12,,13,5,14,27,23,30,10,25,22
11256912,Rams,0,1,12,7,0,5,18,,18,17,17,9,22,16,7,24,14
11256899,Commanders,0,1,12,6,0,6,15,,14,16,25,11,25,18,27,12,26
11274950,Vikings,0,1,13,7,0,5,21,,19,24,25,17,31,27,10,26,17
11274955,Chiefs,0,1,13,8,0,4,26,,27,28,13,20,11,16,13,31,21
11274942,Broncos,0,1,13,1,0,12,1,,1,9,1,6,1,2,29,17,26
11274960,Patriots,0,1,13,3,0,10,5,,5,2,5,28,3,9,22,2,13
11274963,Bills,0,1,13,9,0,3,29,,30,27,20,9,20,19,25,15,24
11274952,Colts,0,1,13,10,0,3,30,,28,16,31,25,7,13,26,25,27
11274943,Saints,0,1,13,5,0,8,8,,8,7,16,14,13,17,2,19,5
11274959,Dolphins,0,1,13,7,0,6,18,,21,26,11,4,26,12,27,28,29
11274944,Jets,0,1,13,9,0,4,27,,26,31,9,1,25,1,30,32,32
11274957,Chargers,0,1,13,6,0,6,16,,16,12,28,15,32,28,11,4,4
11274962,Packers,0,1,13,9,0,3,28,,29,13,30,24,21,29,1,12,2
11274967,Rams,0,1,13,7,0,5,23,,18,19,17,10,24,20,5,20,9
11274961,Texans,0,1,13,7,0,5,25,,25,23,26,5,30,14,9,30,20
11274968,Titans,0,1,13,2,0,10,3,,4,8,2,3,12,4,12,11,10
11274964,Browns,0,1,13,7,0,5,24,,22,15,29,31,23,31,8,13,11
11274939,Seahawks,0,1,13,5,0,7,12,,11,20,3,11,10,11,16,3,8
11274941,Giants,0,1,13,5,0,8,9,,10,6,23,7,27,18,15,16,14
11274969,Cardinals,0,1,13,12,0,0,32,,32,32,32,32,29,32,31,29,31
11274947,Raiders,0,1,13,5,0,8,10,,6,14,7,2,19,3,28,22,28
11274956,Cowboys,0,1,13,5,0,8,11,,2,29,6,21,5,7,32,24,30
11274945,49ers,0,1,13,6,0,7,13,,13,1,22,29,8,24,3,1,1
11274965,Panthers,0,1,13,6,0,7,14,,14,4,18,18,9,15,14,7,7
11274951,Commanders,0,1,13,6,0,6,15,,15,17,24,13,28,25,19,10,18
11274953,Buccaneers,0,1,13,5,0,8,7,,12,5,14,27,17,26,17,27,25
11274949,Ravens,0,1,13,3,0,10,4,,3,11,4,30,2,5,21,8,16
11274948,Lions,0,1,13,4,0,9,2,,9,10,8,19,4,6,6,18,12
11274938,Bears,0,1,13,6,0,6,17,,17,22,15,16,18,23,24,6,19
11274958,Eagles,0,1,13,10,0,2,31,,31,30,10,12,6,8,18,21,22
11274966,Steelers,0,1,13,7,0,6,19,,23,21,27,22,14,21,20,9,15
11274954,Jaguars,0,1,13,7,0,6,20,,24,18,12,23,16,22,23,14,23
11274946,Bengals,0,1,13,7,0,5,22,,20,25,21,8,15,10,4,23,6
11274940,Falcons,0,1,13,4,0,8,6,,7,3,19,26,22,30,7,5,3
11303167,Panthers,0,1,14,7,0,7,19,,14,4,19,18,11,17,7,7,6
11303155,Jaguars,0,1,14,7,0,7,20,,20,14,10,24,10,20,24,16,21
11303152,Commanders,0,1,14,7,0,7,14,,15,21,20,8,21,12,31,5,25
11303154,Buccaneers,0,1,14,5,0,9,6,,7,5,14,28,16,29,13,25,20
11303164,Packers,0,1,14,10,0,3,29,,28,12,31,25,26,30,1,10,2
11303145,Saints,0,1,14,5,0,9,7,,8,7,17,19,13,19,3,18,5
11303159,Eagles,0,1,14,11,0,2,31,,31,30,11,16,7,10,23,19,22
11303163,Lions,0,1,14,4,0,10,2,,2,10,8,17,6,6,4,20,7
